abandon abandonment
recognize recognition
recollect recollection
recommend recommendation
reconfirm reconfirmation
reconsider reconsideration
reconstruct reconstruction
record recording recorder
recover recovery
recreate recreation
recriminate recrimination
recruit recruitment recruiter
rectify rectification
recuperate recuperation
recuse recusal
recycle recycling
redact redaction
redeem redemption
redefine redefinition
redeploy redeployment
redevelop redevelopment
redistribute redistribution
reduce reduction
reduplicate reduplication
reelect reelection
reevaluate reevaluation
reexamine reexamination
refer referral
referee referee
refinance refinancing
refine refinement refiner
reflate reflation
reflect reflectance
refocus refocusing
reforest reforestation
reform reform reformer
reformulate reformulation
refract refraction
refresh refreshment
refrigerate refrigeration
refund refund
refurbish refurbishment
refuse refusal
refute refutation
regard regard
regenerate regeneration
regiment regimentation
register registration
regret regret
regularize regularization
regulate regulation regulator
regurgitate regurgitation
rehabilitate rehabilitation
rehearse rehearsal
reify reification
reimburse reimbursement
reimpose reimposition
reincarnate reincarnation
reinforce reinforcement
reinstate reinstatement
reinterpret reinterpretation
reinvest reinvestment
reinvigorate reinvigoration
reiterate reiteration
reject rejection
rejuvenate rejuvenation
relate relation
relax relaxation
release release
relegate relegation
relieve relief reliever
relinquish relinquishment
relocate relocation
rely reliance
remember remembrance
remilitarize remilitarization
remind reminder
remit remission
remove removal
remunerate remuneration
render rendition
renegotiate renegotiation
renew renewal
renounce renouncement
renovate renovation renovator
rent rent
reorganize reorganization
reorient reorientation
reorientate reorientation
repair repair repairer
repatriate repatriation
repay repayment
repeal repeal
repeat repetition
repel repulsion
repent repentance
replace replacement
replenish replenishment
replete repletion
replicate replication
reply replication
report report
repose reposition
repossess repossession
represent representation
repress repression
reprise reprisal
reprobate reprobation
reproduce reproduction
reprove reproval
repudiate repudiation
repugn repugnance
repulse repulsion
repurchase repurchase
repute reputation
request request
require requirement
requite requital
rescind rescission
rescue rescue rescuer
research research researcher
resell resale
resemble resemblance
resent resentment
reserve reservation
reset reset
resettle resettlement
resign resignation
resist resistance
resolve resolution
respire respiration
respond response
rest rest
restate restatement
restitute restitution
restore restoration restorer
restrain restraint
restrict restriction
restructure restructuring
result result
resume resumption
resurrect resurrection
resuscitate resuscitation
retail retailing retailer
retain retention
retaliate retaliation
retard retardation
reticulate reticulation
retire retirement
retract retraction
retreat retreat
retrench retrenchment
retrieve retrieval
retrospect retrospection
retry retrial
return return
reunify reunification
revalue revaluation
revamp revamping
reveal revelation
revel revelation reveler
reverberate reverberation
reverse reversal
review review
revile revilement
revise revision
revitalize revitalization
revive revival
revivify revivification
revoke revocation
reward reward
ribosylate ribosylation
ride ride rider
rip ripper
rise rise
risk risk
rob robbery robber
rock rock rocker
roll rolling roller
romanticise romanticisation
romanticize romanticization
roof roofer
rotate rotation
row rower
ruin ruin
rule rule ruler
ruminate rumination
rumor rumor
run run runner
rush rush
rustle rustler
sacrifice sacrifice
sag sagging
sail sailor
salivate salivation
salute salutation
sanctify sanctification
sanitize sanitization
satiate satiation
satisfy satisfaction
saturate saturation
save rescue saver
say saying
scale back scale-back
scan scanner
scandalize scandalization
scare scare
scavenge scavenger
schedule schedule
schematize schematization
scintillate scintillation
score score
scramble scramble
scrap scrap
scream screaming
scribble scribbler
scrub scrubber
sculpt sculptor
seal sealing
search search
seat seating
secede secession
seclude seclusion
secrete secretion
secularize secularization
sedate sedation
seduce seduction
see seer
seek seeker
segment segmentation
segregate segregation
seize seizure
select selection
sell off sell-off
sell out sell-out
sell sale seller
sensitize sensitization
sentence sentence
sentimentalise sentimentalisation
sentimentalize sentimentalization
separate separation
sequester sequestration
sequestrate sequestration
serialize serialization
serve service server
service service
set up set-up
set setting setter
settle settlement
sever severance
sew seamstress
shape shape
share sharing
sharpshoot sharpshooter
shed shedding
shift shift
ship shipment
shock shock
shoot shooting shooter
shop shopping shopper
shout shouting
show showing
shrink shrinkage
shut down shut-down
shut shutter
sign up sign-up
sign signature
signal signal signaller
signalize signalization
signify signification
simplify simplification
simulate simulation
sin sin sinner
sing singing singer
sink sinking
sit sitter
situate situation
ski skier
skip skipper
slam slammer
slash slash
slate slater
slaughter slaughterer
sleep sleep
slide slide
slip slip
slow down slow-down
slow slowing
smell smell
smile smile
smoke smoking smoker
snatch snatcher
snipe sniper
socialize socialization
soften softening
solace solacement
solemnize solemnization
solicit solicitation
solidify solidification
solmizate solmization
solvate solvation
solve solution
sophisticate sophistication
sorb sorption
sort sorting
speak speaking speaker
specialize specialization
specify specification
speculate speculation speculator
speed speed
spend spending spender
spin off spin-off
spin spin spinner
spiritualize spiritualization
split split
spoil spoilation spoiler
sponsor sponsor
spot spotting spotter
spy spy
squeeze squeeze
stabilize stabilization
stage staging
stagnate stagnation
stalk stalker
stall stalling
stand standing
standardize standardization
start start starter
starve starvation
state statement
steal theft
steer steering
step step
sterilize sterilization
stickle stickler
stigmatize stigmatization
stimulate stimulation
stipulate stipulation
stir stirring stirrer
stock stocking
stop stop
store storage
strain strain
strangulate strangulation
stratify stratification
streamline streamlining
strengthen strengthening
stress stress
stretch stretch
striate striation
stridulate stridulation
strike strike striker
strip stripping stripper
structure structure
struggle struggle
study study
stultify stultification
stumble stumble
stylize stylization
subcontract subcontractor
subdivide subdivision
subject subjection
subjugate subjugation
sublimate sublimation
sublime sublimation
submit submission
subordinate subordination
suborn subornation
subscribe subscription subscriber
subsidize subsidization
substantiate substantiation
substitute substitution
subsume subsumption
subtract subtraction
succeed success
suck sucker
sue suit
suffer sufferance
suffocate suffocation
suffuse suffusion
suggest suggestion
suit suit
summarize summarization
summate summation
sumoylate sumoylation
superannuate superannuation
superordinate superordination
supersede supersession
supervise supervision
supinate supination
supplement supplementation
supplicate supplication
supply supplication
support support supporter
suppose supposition
suppress suppression suppresser
suppurate suppuration
surf surfer
surface surfacing
surge surge
surprise surprise
surrender surrender
survey survey surveyor
survive survival survivor
suspect suspicion
suspend suspension
sustain sustenance
swap swap
sway swaying
sweep sweep sweeper
sweeten sweetening
swell swell
swim swimmer
swing swing
switch switch
syllabicate syllabication
syllabify syllabification
symbolize symbolization
sympathize sympathizer
synchronize synchronization
syncopate syncopation
syndicate syndication
systematize systematization
tabulate tabulation
tackle tackling
tailor tailor
take over take-over
take taking taker
talk talk
tap tapping
tape taping
target target
tarry tarriance
taste taster
tax tax
teach teaching teacher
telecommunicate telecommunication
televise television
temper temperance
tempt temptation
tergiversate tergiversation
term term
terminate termination terminator
terrorise terrorisation terrorist
terrorize terrorization terrorist
test test tester
testify testimony
thatch thatcher
theorize theorization
think thought thinker
threaten threat
throw throwing thrower
thwart thwarting
tie tie
tighten tightening
time timing
tintinnabulate tintinnabulation
tip tipper
titillate titillation
title title
titrate titration
toddle toddler
toil toiler
tolerate toleration
top top
torture torturer
touch touching
tour touring
track track
trade trade
traduce traducement
trail trail
train training trainer
transact transaction
transactivate transactivation
transduce transduction
transfect transfection
transfer transfer
transfigure transfiguration
transform transformation
transfuse transfusion
transit transition
translate translation translator
transliterate transliteration
translocate translocation
transmit transmission transmitter
transmogrify transmogrification
transmute transmutation
transpirate transpiration
transpire transpiration
transplant transplantation
transport transport
transpose transposition
transship transshipment
transude transudation
trap trapper
travel travel traveler
treat treatment
trephine trephination
trigger trigger
triple tripling
trot trotter
trouble trouble
truck trucker
trumpet trumpeter
truncate truncation
trust trust
try trial
tumble tumble
turn around turn-around
turn out turn-out
turn over turn-over
turn turn
type typist
typify typification
ubiquitinate ubiquitination
ulcerate ulceration
ululate ululation
uncover uncovering
underestimate underestimation
underpay underpayment
understand understanding
understate understatement
undertake undertaking
undervalue undervaluation
underwrite underwriting underwriter
undo undoing
unify unification
unionize unionization
unite unification
unload unloading
unravel unraveling
unsettle unsettlement
unveil unveiling
update update
upgrade upgrade
upregulate upregulation
urbanize urbanization
urge urge
urinate urination
use usage user
usher usher
usurp usurpation
utilise utilisation
utilize utilization
utter utterance
vacate vacation
vacation vacationer
vaccinate vaccination
vacillate vacillation
validate validation
value valuation
vaporize vaporization
vary variance
vegetate vegetation
vend vendor
venerate veneration
ventilate ventilation
verbalize verbalization
verify verification
versify versification
vest vestment
veto veto
vex vexation
vibrate vibration
victimise victimisation
victimize victimization
view view viewer
vilify vilification
vindicate vindication
violate violation
visit visit visitor
visualize visualization
vitiate vitiation
vituperate vituperation
vivify vivification
vivisect vivisection
vocalize vocalization
vociferate vociferation
void voidance
volunteer volunteer
vote vote voter
vow vow
vulcanize vulcanization
vulgarize vulgarization
wait wait
walk walk walker
warble warbler
warm warming
warn warning
waste waste
watch watching
wave waving
weaken weakening
weep weeper
weigh weighing
welcome welcome
weld welder
whale whaler
whine whiner
wholesale wholesaler
widen widening
win win winner
withdraw withdrawal
withhold withholding
witness witness
wonder wonder
work out work-out
work work worker
worry worry
wrangle wrangler
wrap wrapper
wreathe wreath
wreck wreckage
wrestle wrestling wrestler
write off write-off
write writing writer
yell yelling
yield yield
yodel yodeller
zip zipper
